Concept	Définition
Retranchement de notes dans les accords	Aucune loi n'oblige d'écrire toutes les notes d'un accord : on peut donc en retrancher quelques-unes ; grâce à l'enchaînement des accords et au sentiment de la tonalité, un accord incomplet possède, aux yeux des habiles, la physionomie et la signification de l'accord complet. Il les possède tout entières, malgré leur réalité physique moins accusée et moins saillante. Lorsqu'on retranche une note de l'accord parfait, on conserve ordinairement la tierce de la tonique, parce qu'elle indique le mode et caractérise l'accord. Dans un duo, on conserve habituellement les notes qui sont à la tierce ou à la suite l'une de l'autre, comme ut mi, mi sol, mi ut, sol mi. Les notes de l'accord de dominante peuvent toutes se retrancher successivement, et toutes s'associer les unes avec les autres : chacun de ces groupes possède une nuance particulière d'expression. Les anciens compositeurs supprimaient souvent la tierce dans l'accord final.
Rhythme	Le rhythme n'est autre chose que la symétrie appliquée au mouvement, la différence de vitesse ou de lenteur modifiée d'une manière symétrique, et dont les formes se reproduisent à certains intervalles disposés dans un ordre assez régulier pour former une sorte de mesure cadencée. Tout mouvement qui succède ainsi nous affecte déjà agréablement, même sans le secours d'aucune espèce de sonorité musicale. Quel charme n'aura pas ce même mouvement, si nous appliquons à chacun des temps qui le composent dés sons choisis, et dont la succession soit telle qu'elle flatte l'oreille ! nous jouirons alors d'une véritable mélodie, au lieu de la psalmodie vague et monotone que nous laisserait l'absence du mouvement rhythmique. On donne aussi le nom de rhythme en musique, à certaines formules ou dessins d'accompagnement qui se reproduisent symétriquement pendant un certain espace 'de temps.
Rhythmique	Une musique rhythmique est celle qui est ordonnée avec une parfaite symétrie dans les membres dont se composent ses périodes. Un accompagnement rhythmique est celui dans lequel le compositeur fait entendre constamment le' groupe uniforme , l'arpège adopté, tandis que l'harmonie varie ses accords. Gluck, qu'on doit souvent citer pour le dessin des accompagnements, nous a donné les premiers modèles dans le genre rhythmique.
Rhythmomètre	Machine destinés à indiquer la division des temps de la musique, elle fut inventée à Paris, en 1782, par Duclos, horloger, et employée à l'Ecole royale de chant dont Gossec était alors directeur.
Rhythmopée	Partie scientifique de la mélodie qui apprend l'arrangement des parties mélodiques relativement à leur extension, afin qu'elles puissent avoir entre elles un rapport agréable.
Ricercata	Est une espèce de fugue dans laquelle on propose la première moitié du sujet, comme dans la fugue ordinaire, mais où la seconde moitié se travaille en inversion simple ou stricte.
Ricercato	En italien signifie recherché. On donne ce nom à tout genre de composition où sont employées les recherches du dessin musical. Mais on l'applique plus particulièrement aux compositions madrigalesques, qui, outre les recherches du dessin, offrent encore celles du goût et de l'expression. L'école italienne possède une grande quantité d'ouvrages en ce genre.
Rigaudon	Sorte de danse dont l'air, imaginé par un nommé Rigaud est à deux temps, d'un mouvement gai, et se divise ordinairement en deux reprises phrasées de quatre en quatre mesures, et commençant par la dernière note du second temps.
Rinforzando, en renforçant	C'est passer du piano au fort, et du fort au très-fort, non tout d'un coup, mais par une gradation continue, en enflant et augmentant les sons, soit sur une tenue, soit sur une suite de notes, jusqu'à ce qu'ayant atteint le point qui sert de terme au renforcé, l'on reprenne ensuite le jeu ordinaire. Le rinforzando produit le même effet que le crescendo ; mais son emploi est différent. On se sert plus particulièrement de celui-ci dans les grandes périodes, tandis que le rinforzando ne s'emploie que pour de petits groupes de notes, et même pour une note seule.
Ritardando, en retardant	(Voyez RALLENTANDO).
Ritournelle	De l'italien ritornello, petit retour, parce que autrefois l'accompagnement se bornait à répéter la dernière phrase du chanteur. La ritournelle a acquis avec le temps un plus haut degré d'importance ; c'est aujourd'hui une sorte de prélude instrumental, un trait de symphonie plus ou moins développé, qui annonce le début d'un chant vocal, ou remplit les repos et les silences que dans toute musique bien sentie le compositeur a su ménager à la voix ; ou bien encore elle complète d'une manière brillante, expressive ou piquante le morceau, après que la voix a cessé de se faire entendre. Les ritournelles sont d'un effet admirable dans la musique dramatique ; elles expriment souvent les affections de l'âme avec bien plus de force et d'énergie que la parole. Mais c'est surtout dans les airs déclamés et le récitatif qu'elles montrent jusqu'à quel degré de puissance elles peuvent atteindre, en traduisant merveilleusement la pantomime, le jeu de physionomie, et même jusqu'aux regards de l'acteur, à ces moments suprêmes d'une scène pathétique où la parole devient impuissante à exprimer les émotions de l'âme. Rococo se dit en général de toute musique vieille, et hors de mode. RÔLE. Le papier séparé qui contient la musique que doit exécuter un concertant, et qui s'appelle partie dans un concert, s'appelle rôle à l'Opéra. Ainsi on doit distribuer une partie à chaque musicien, et un rôle à chaque acteur. Rôle signifie tout ce que doit chanter ou réciter un acteur dans une pièce de théâtre.
Romains (de la musique chez les)	Rome, quelque austères que fussent ses lois, reconnut, même dès son berceau, le pouvoir de la musique; mais-elle consacra ses naissantes institutions dans cet art à son dieu favori, à Mars. Le plus pacifique de ses rois, celui qu'on doit regarder comme son législateur religieux, Numa, ordonna que les prêtres de ce dieu chanteraient, en portant en procession l'ancile, ou le bouclier sacré tombé du ciel pour servir d'égide à la ville éternelle. Plus tard, on voit le Napolitain Andronicus, affranchi de Livius Salinator, composer, pour apaiser les dieux irrités contre les Romains, un hymne qui fut solennellement chanté par un choeur de jeunes vierges, dont la beauté, dit un historien, ajoutait au charme de la poésie et de la musique. Les jeux scéniques furent institués à Rome à l'instar de ceux de la Grèce, et ils eurent pour cause la religion. La population romaine, dévorée par une peste sous le consulat de Sulpicius Pelicus et de Licinius Stolon, eut recours à des prières, des sacrifices et des cérémonies extrordinaires pour fléchir l'inclémence des dieux. Elle n'avait point de chanteurs ; elle en fit venir de l'Etrurie pour établir des fêtes funèbres. L'histoire ne nous dit point si ces fêtes apaisèrent le couroux des dieux, et si on leur dut la cessation du terrible fléau ; mais ce qu'elle ne nous laisse pas ignorer, c'est que la jeunesse romaine goûta beaucoup ces jeux, qui étaient scéniques, puisque ceux qui y figuraient se montraient en public sur un théâtre, et qu'ils représentaient des pièces qui furent considérées comme satiriques, à cause des vérités souvent amères que renfermaient les vers qa'on y débitait,et dont l'harmonie était soutenue par les sons des flûtes et des lyres. Quelques années après, sous le consulat d'un des descendants de Paul Emile, on voit la musique, admise jusque-là dans Rome comme une simple étrangère, à laquelle, en récompense de ses talents, on accorde l'hospitalité, acquérir enfin les nobles droits de cité dans la ville éternelle. Ce fut, en effet, dès ce moment, qu'on l'appela à l'honneur de célébrer la naissance, le mariage et même la mort des maîtres du monde ; elle vint mêler sa joie à la gaieté de leurs festins, donner plus d'éclat à leurs triomphes, et prêter le charme de la mélodie à leurs funérailles. Enfin parurent les jours si beaux pour les arts, où commença le règne d'Auguste. Avant ce grand événement, il venait de s'en passer un non moins important, l'assassinat de Jules César", suivi de ses funérailles si remarquables par la douleur du peuple et l'artificieux et éloquent discours d'Antoine. Ce fut dans cette circonstance qu'un nombre considérable de musiciens, attachés au dictateur par leur emploi et par l'admiration qu'inspiraient ses talents et son génie, jetèrent, après s'en être servis pendant les funérailles, leurs instruments dans le bûcher dont les flammes venaient de consumer les restes d'un grand homme, comme si, après avoir célébré sa gloire et ses triomphes, ces organes de la mélodie ne devaient plus avoir aucun autre emploi. Sous le règne d'Auguste, Rome ordonna que le poëme qu'Horace avait composé en l'honneur de Diane serait chanté par deux choeurs, l'un de jeunes filles, l'autre de jeunes garçons, tous fils de patriciens. Les beaux vers de l'héritier de la lyre de Pindare furent embellis par une musique dont on ignore les auteurs. Mais cette circonstance montre que cet art, étendant son empire sur le peuple romain, et suivant les progrès de la civilisation et du luxe, allait jouir encore de plus d'honneur sous les empereurs que pendant la république. Sous le règne de Tibère, la musique dut nécessairement être atteinte de ce marasme qui paralyse tous les arts sous un tyran ; et cependant, sous Caligula, digne héritier de cet empereur, elle semble s'éveiller de sa longue léthargie. C'est que ce prince avait pour cet art un goût très-prononcé, et presque une passion. Caligula aimait la musique autant qu'il aimait le sang, et cette réunion dans un même homme d'un goût aimable et d'une fureur sanguinaire n'est pas, de tous les mystères de l'esprit humain, le moins difficile à expliquer. Néron cultiva lui-même la musique en artiste consommé ; il consacrait une partie de son temps à l'exercice de son art favori. Tous les jours, s'enfennant avec Terpanum, le joueur de flûte et de cythare le plus renommé qu'il y eût alors, il prenait des leçons de chant qui se prolongeaient jusque dans la nuit. • Quoique sa voix fut grêle et voilée, il fît de tels progrès, que dans la troisième année de son règne il ne balança point à chanter en public. Il débuta sur le théâtre de Naples, et y acquit tant de réputation, que des musiciens accoururent de toutes les contrées pour l'entendre et admirer son talent. Il en retint cinq mille, qui, dès ce moment, restèrent attachés à son service. Il leur donna un costume uniforme, et leur apprit même, chose incroyable, si Suétone ne l'attestait, de quelle manière il entendait être applaudi. Le peuple romain le pria un jour de chanter dans une des rues de Rome où il passait, et Néron, qui lui aurait refusé la vie de Trasias, s'il la lui avait demandée, ne refusa point de lui faire entendre sa voix divine. Des applaudissements vifs et prolongés furent le prix de cette complaisance inouïe. Dès ce moment, le maître du mondé se mit lui-même au rang des comédiens, et accepta sa part des rétributions publiques destinées à payer leur talent. Non content des applaudissements donnés à sa Voix comme chanteur, il brigua les suffrages du public comme compositeur ; il voulait traiter le sujet de la prise de Troie, et l'on prétend même qu'il fit mettre le feu à Rome, afin de pouvoir imiter avec plus de vérité les voix et les cris déchirants des victimes de l'incendie. C'est à l'aspect du plus affreux "tableau que puissent contempler les yeux de l'homme, et-qui, pour lui, n'était qu'un brillant modèle, qu'il eut, dit-on, le plaisir en jouant sur sa flûte, de composer ce qu'on appelle d'après nature. A la mort de Néron, le peuple romain, dont l'irritation était extrême, prétendit mettre au rang des complices de cet empereur la musique, et, comme telle, la bannit de Rome avec tous les musiciens. Ainsi proscrit, l'art musical se réfugia, au sein de l'Église naissante, qui l'épura en lui donnant un asile et en simplifiant sa notation.
